,id,color1,color2,color3,color4
167,prints344,#FFFFFF,#EB0065,#EB2B40,#BB2435
168,prints422,#C99B84,#FCDDA4,#544947,#DBD5C7
169,prints1239,#ECF2CE,#BFC098,#000009,#2A2F33
170,photography761,#F1F1F1,#CFD0CB,#F04F5F,#A19E99
171,prints1205,#F0F4F7,#8A3FA4,#D61321,#6A625F
172,photography749,#7D7C77,#9E9D98,#5F5E59,#C6C7C1
173,painting710,#131433,#0164C9,#17194A,#5282D6
174,photography985,#061007,#EBEFF2,#2C4035,#54392E
175,prints1211,#EEEEEE,#CECDC8,#ABAAA5,#595854
176,prints185,#6A0000,#93081B,#240000,#0E0000
177,works-on-paper212,#E5E5E5,#BEC8C0,#587B74,#89BAA7
178,prints608,#F1F0EC,#0B0B03,#B2B8D8,#272822
179,works-on-paper1256,#F5ECDB,#E7D1AC,#CCAE88,#9F815B
180,prints146,#FFFFFF,#D0AA86,#2D3238,#000000
181,prints967,#EBE7E6,#B7536B,#B73525,#26407B
182,mixed-media495,#ADA9A8,#0B0000,#FDFDFD,#CFCAC7
183,prints1359,#F8F8F8,#020403,#ACA9A4,#D4D6D5
184,prints973,#E9BBC8,#6F54A5,#73953F,#455A31
185,works-on-paper44,#BFB9AB,#E7E9E4,#666E70,#999D9C
186,prints1417,#F1F1F1,#6CA4DF,#4C5493,#AC4F6A
187,prints1371,#ECE7E3,#393438,#5A5559,#C8BDB9
188,photography1144,#EEEFEA,#1B1A1F,#A09C99,#CECAC7
189,prints783,#D7D3C8,#252429,#F8F7F2,#69686E
190,photography1150,#E6E4E5,#2C3137,#5C5451,#C2C1BF
191,painting1093,#F7EFEC,#BEB5B6,#0E162B,#6F889E
192,photography629,#5C6164,#9DA6AF,#000000,#1F2525
193,prints1365,#DFCCBB,#B1BD95,#508E65,#8DAD7C
194,prints1403,#E5E1DE,#474340,#C0BFBD,#66625F
195,mixed-media1121,#D3CFCE,#1B1C16,#B2A8B3,#003B8B
196,prints768,#F3DBBF,#CDAD87,#292420,#A78869
197,works-on-paper1444,#C34127,#A03926,#362E2C,#893B31
198,prints740,#FFC3E7,#2D2727,#FEFFFA,#FEA8D7
199,photography826,#150707,#4F4955,#B78783,#31241E
200,photography832,#FFFFFF,#101010,#FFD3E2,#D6B6C1
201,photography1193,#FFFFFF,#0C0C0C,#8E8E8E,#DCDCDC
202,prints754,#070B0C,#FFFFFD,#1C232D,#D7D6D1
203,painting1050,#FFFFFF,#D76668,#23272A,#DBDCDE
204,works-on-paper1450,#E4DED2,#00A036,#BFA185,#C2C2C2
205,photography371,#0D0D0D,#E7E5D9,#635C52,#242829
206,prints1173,#F8F9FE,#121214,#BFC0C4,#032893
207,photography1420,#030303,#E2E2E4,#AFB2AB,#1B2019
208,painting300,#13140F,#3F4B3F,#2A2E20,#694C20
209,photography1434,#F7F7F7,#A02E23,#151110,#D1792F
210,works-on-paper831,#EFEEE9,#968C82,#6A635D,#CCCCCC
211,prints595,#FFFFFF,#171717,#DCDCDE,#303030
212,mixed-media654,#FFFFFF,#D3CEB0,#31312F,#DCAB2A
213,mixed-media1445,#171518,#1A2C5A,#5F1919,#87211D
214,prints218,#F4F0ED,#1A1819,#817B7B,#373334
215,mixed-media1323,#EBEBE9,#FCD8BE,#FEF4C1,#CBECD9
216,mixed-media640,#F8F9FB,#D3D5D2,#ACADAF,#5D7FC6
217,prints224,#036F7C,#EEEBE4,#CEAAB6,#39616D
218,photography1391,#E1E2E7,#005A75,#011D20,#004161
219,prints91,#FDF9D4,#000000,#CCE4C4,#BB0504
220,painting1253,#FFFFFF,#B9B6B1,#67675D,#1E1E1C
221,prints543,#FFFFFF,#B4B4B2,#908F8D,#D8D8D8
222,works-on-paper1121,#FFFFFF,#ABABAB,#AC996F,#FFFFE6
223,prints225,#FBB96F,#6AB2E2,#EBD9B1,#E9E8E3
224,mixed-media1336,#BEC2C1,#202529,#E1E6E9,#B8B19E
225,mixed-media1450,#D2C1A7,#B8A084,#6C5F4F,#4B4239
226,works-on-paper171,#F3F3F3,#DFDAC6,#CADCE6,#B6B9A4
227,prints52,#F3F3F3,#2E526A,#7D0109,#DDD8C5
228,mixed-media866,#6E3B66,#4F1A50,#FCFCFC,#8F5C87
229,prints594,#ECDED5,#3A3637,#C9BCB6,#A69B97
230,prints1166,#000000,#FFFFFF,#00C4F6,#FFD900
231,prints1172,#DBD9CC,#938F83,#B9B5A9,#747064
232,photography1347,#7B96C3,#020304,#2774A6,#08487F
233,mixed-media872,#CACED1,#8B8D7F,#7C6442,#726C5C
234,prints46,#010101,#D9DBD8,#6F6E69,#91908B
235,photography1421,#F2F2F4,#C9DBE7,#26312D,#A3C8E2
236,works-on-paper824,#B2A99A,#8F897D,#D1CBBF,#70695F
237,photography1409,#F6F7F9,#95764A,#C3AD7E,#0E0000
238,photography370,#373C38,#555A54,#9EA18C,#818479
239,prints755,#BCD1E2,#17181D,#ECEDEF,#84552B
240,works-on-paper1451,#7A7675,#8D8875,#BC9A75,#BCB388
241,works-on-paper1323,#EFEEEA,#CACAC8,#21211F,#42433E
242,prints999,#FA3786,#083E84,#3165A1,#FFFFFF
243,painting1045,#374244,#001212,#507484,#C8D2D4
244,works-on-paper373,#DAD9D5,#C1BCA6,#21262C,#192D83
245,works-on-paper415,#E73414,#FFFFFF,#2F2D2E,#B60704
246,mixed-media1120,#5C472C,#E9B167,#D39234,#3B2A1A
247,prints1364,#FEF7E7,#111111,#354544,#316B53
248,prints796,#DDDCDA,#060E11,#B0B5BB,#505052
249,photography1151,#F7F8F3,#92211D,#E9AC75,#110F10
250,painting117,#8FA1A3,#3C4356,#161115,#818898
251,works-on-paper79,#858585,#474747,#000000,#FFFFFF
252,prints1402,#F3F3F3,#343645,#DCD9CA,#E8DD74
253,prints1416,#EEF5FD,#3B3C3E,#C1C5CE,#9DA2A6
254,painting665,#1C1B20,#3497B6,#45607B,#34353A
255,prints1370,#F1F1F3,#16171B,#C5C9CA,#565455
256,mixed-media480,#EBCC00,#823EF7,#FDF4E3,#01A2FD
257,prints1358,#E1DDD2,#7C9E9F,#446E87,#BBBBBB
258,photography614,#FFFFFF,#4D4D4B,#15181F,#7B7A75
259,photography600,#101211,#F4F4F4,#262C2A,#D2D2D0
260,painting659,#FFFFFF,#F6525B,#74542E,#523515
261,mixed-media494,#E3E2DD,#C2C2B6,#959589,#000100
262,prints966,#1D1D1F,#725F50,#A0BCCA,#692B1E
263,prints621,#F4F1EC,#515254,#265437,#006835
264,works-on-paper1243,#EEEEEE,#C3BFBC,#C3DFEB,#A19D9A
265,prints153,#FFFFFF,#CDC0AD,#2F2B2C,#969084
266,painting1131,#E3C9A8,#C0AE98,#0264C7,#7E775D
267,works-on-paper207,#F1F1F1,#AB9887,#D3AD89,#C5C5C5
268,mixed-media251,#FFFFFF,#DBDBDB,#9B9D9C,#363B3F
269,photography984,#5F6C7F,#3B4963,#44638F,#83889B
270,mixed-media1097,#C4AB8D,#23221E,#E5D1B8,#C89E6C
271,prints1238,#0B0B0B,#333534,#8E959D,#606A76
272,prints812,#000000,#EDFFFF,#152024,#D8E7FC
273,prints345,#F5F5F5,#A1773D,#A3D4DB,#125CBF
274,works-on-paper1041,#0093E3,#F4F1DE,#A0A7AD,#101614
275,prints423,#191919,#F7F7F7,#ACACAE,#5D5D5D
276,prints351,#EDE9DE,#494440,#C5C1B8,#A09C93
277,mixed-media1242,#4F4F4F,#464028,#34302D,#4E3328
278,photography238,#EBEBEB,#11100C,#2E2D29,#C9C6BF
279,works-on-paper944,#FFFFFF,#E4DCD9,#404048,#6B6976
280,prints386,#EDC39D,#027A8B,#3B2A34,#2B515E
281,prints1006,#3C2A1C,#82D30A,#F1B360,#F1E2C5
282,works-on-paper1096,#EDEDED,#B0ABA7,#58AFC2,#F2E28A
283,prints3,#8FCCC7,#00AB9B,#E7DED5,#E2B945
284,works-on-paper950,#E2E3DE,#845C2B,#969B9F,#C2C1BC
285,photography204,#707070,#BBBBBB,#232323,#525252
286,photography210,#F5F5F5,#0D0D0D,#272727,#CDD2D5
287,painting271,#7FDBCE,#9E7F63,#A7978A,#C79B74
288,works-on-paper940,#CDC5C3,#72B021,#E0202B,#29272A
289,photography214,#FBFFFE,#E8C9AC,#171F21,#BABABA
290,photography572,#EAEEF1,#A09991,#544331,#231812
291,prints355,#D9D8D6,#B8B7B3,#AE9EA8,#1B161A
