,artist_names
411,Tilman
412,Suzanne Caporael
413,Audrey Stone
414,Brad Wilson
415,Beat Zoderer
416,Jill Moser
417,Yvonne Thomas
418,Kate Ericson and Mel Ziegler
419,Daniel Rich
420,David Allan Peters
421,Flavio Garciandia
422,Barry Nelson
423,Louisa Chase
424,Charles Cobelle
425,Miriam Smidt
426,Lucinda Burgess
427,Alen Opsar
428,Maria Jose Arjona
429,Ludovic Dervillez
430,Paul Landauer
431,Kathleen Kucka
432,Jonathan Smith
433,George Rodger
434,Andreas Leikauf
435,Luca Marziale
436,Oswaldo Goeldi
437,Louise Robert
438,Laurent Marcel Salinas
439,Nick Terry
440,Jeremie Iordanoff
441,Tunku Khalsom
442,Jennyfer Stratman
443,Marcone Moreira
444,Zhu Ming
445,Mattia Bosco
446,MIcowEL
447,Carla Gimbatti
448,Evelyn Politzer
449,Sebastiaan Knot
450,Kenny Scharf
451,Yaacov Agam
452,Robert Motherwell
453,Eduardo Arranz-Bravo
454,Martin C. Herbst
455,Cecile Raynal
456,Fred Stichnoth
457,Guillaume Chansarel
458,Takashi Murakami
459,Yayoi Kusama
460,Gunther Forg
461,Karel Appel
462,Greet Helsen
463,Ellen Priest
464,Malcolm Morley
465,Henrietta Harris
466,Gered Mankowitz
467,Pierre Alechinsky
468,Robert Baribeau
469,Tomory Dodge
470,Jurgen Drescher
471,Tom McGlynn
472,Klaus Kampert
473,Chryssa
474,Joachim van der Vlugt
475,Gianfranco Pezzot
476,Anthony Frost
477,Unknown
478,Richard Hunt
479,David Row
480,Mike Meire
481,Hadi Tabatabai
482,Dieter Mammel
483,Charlie Hewitt
484,Susanne Kirsch
485,Rico Gatson
486,Jeff Robb
487,Lilian Thomas Burwell
488,Lisa Palomino
489,Nora Ampova
490,Meyers Rohowsky
491,Nite Owl
492,Otist
493,BBqueen
494,Harry Skeggs
495,Isher Dhiman
496,Jac Lahav
497,Shelly McCoy
498,Paul Fabozzi
499,Raphael Macek
500,Sarah Chilvers
501,Benjamin Benno
502,Pedro Caetano
503,Hamilton Aguiar
504,Jay Kelly
505,KX2
506,Emily Berger
507,Jessica Renault JrBrush
508,Botero Pop
509,La Pointe
510,Andrew Hardy
511,Elizabeth Peyton
512,Victor Vasarely
513,Corneille
514,Albert Watson
515,Bernard Frize
516,Erte
517,William Ronald
518,Jose Manuel Ciria
519,Barthelemy Toguo
520,Jason Middlebrook
521,Rafael Coronel
